"manUnit","stkName","stk","cuSimName","model","domCycle","usER","minER","tauCycAge","alpha","beta0","sigma","larkAlpha","larkBeta0","larkBeta1","larkBeta2","larkBeta3","larkSigma","meanRec2","meanRec3","meanRec4","meanRec5","meanRec6","medianRec","lowQRec","highQRec","meanDBE","sdDBE","medMA","meanForecast","sdForecast"
"EStu","E. Stuart",1,"test","larkin",1,0.001,0.1,1.075,1.42,1.88,0.81,1.84,1.93,2.69,1.47,0.82,0.75,0,0.00180617535959337,0.912950759383536,0.0852430652568704,0,0.146655,0.07051425,0.276144,0.525258056333333,0.246054248758904,1.1054389165,1.01946419272858,0.491292042572607
"Summ","L. Stuart",2,"test","larkin",1,0.165,0.1,1.8,1.71,1,1.26,2.03,1.1,1.06,0.9,0.36,1.25,0,0.00353745996446576,0.881409603374003,0.115052936661531,0,0.122809345,0.02892,0.449507,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079
"Summ","Stellako",3,"test","ricker",NA,0.165,0.1,0.75,1.79,3.75,0.86,2.63,3.35,2,0.58,5.42,0.71,0,0.000969123251338709,0.845145264373397,0.153885612375264,0,0.3064765,0.18293825,0.63184625,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079
"ESumm","Bowron",4,"test","ricker",NA,0.165,0.1,1.7,1.67,34.6,0.82,1.87,35.36,6.33,8.06,4.25,0.86,0,0.00101266886245846,0.848242483109605,0.150744848027937,0,0.0212625,0.01300825,0.04336375,0.411287344266667,0.176740309961493,0.637333717,0.880720121684726,0.451454588517808
"Summ","Raft",5,"test","ricker",NA,0.165,0.1,0.9,1.54,24.2,0.78,1.77,23.09,4.69,13.52,9.76,0.79,0,0.00224535133179764,0.746056385714758,0.251698262953445,0,0.0233325,0.00958675,0.04773692775,0.554043849933333,0.25544254661625,0.152984277,2.2531327579574,3.57075331293079
"Summ","Quesnel",6,"test","larkin",1,0.165,0.1,2.975,1.64,0.48,1.01,2.04,0.43,0.27,0.37,0.54,0.85,0,0.00326267540958898,0.91198667528029,0.0847506493101206,0,0.0651813225,0.0027205,1.0587615,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079
"Summ","Chilko",7,"test","ricker",NA,0.165,0.1,0.7,1.85,1.29,0.79,2.22,0.99,0.59,0.47,0.24,0.77,0,0.0110274628375427,0.932670899147405,0.0563016380150523,0,1.1907915,0.5259755,1.82798225,0.0875382883571428,0.29767704220928,0.152984277,2.2531327579574,3.57075331293079
"Lat","L. Shuswap",9,"test","larkin",2,0.165,0.2,1.5,1.5,0.19,1.1,2.27,0.33,0.5,0.32,0.22,0.95,0,0.0234071121741854,0.913110926233215,0.0634819615926,0,0.1130405,0.019543135,2.9135415,0.596922561533333,0.288392456222173,1.727281766,1.02434718881046,0.376954530157091
"Lat","Birkenhead",10,"test","ricker",NA,0.165,0.2,0.725,2.02,7.51,0.99,2.42,6.78,3.07,0.9,1.14,1,0,0.0664145473597801,0.667259464845551,0.266325987794669,0,0.2321985,0.10849125,0.44658625,0.224119378428571,0.263500980150175,1.727281766,1.02434718881046,0.376954530157091
"Lat","Cultus",11,"test","ricker",NA,0.165,0.2,1.2,1.47,27.2,0.99,1.8,27.9,6.78,8.68,6.16,1.07,0,0.0385763464441115,0.928338111547479,0.0330855420084092,0,0.0181045,0.00264605475,0.047068,0.596922561533333,0.288392456222173,1.727281766,1.02434718881046,0.376954530157091
"Lat","Portage",12,"test","ricker",NA,0.165,0.2,2.2,1.97,32.14,1.34,3.03,41.49,82.21,14.95,19.53,1.1,0,0.0209673032446355,0.934085747738795,0.0449469490165692,0,0.025171,0.012058696,0.0552285,0.596922561533333,0.288392456222173,1.727281766,1.02434718881046,0.376954530157091
"Lat","Weaver",13,"test","ricker",NA,0.165,0.2,0.7,2.13,6.82,1.3,2.67,6.93,3.82,1.95,3.04,1.36,0,0.00840384515670901,0.845703853068713,0.145892301774578,0,0.2444484545,0.14393025,0.3838825,0.596922561533333,0.288392456222173,1.727281766,1.02434718881046,0.376954530157091
"ESumm","Fennell",14,"test","ricker",NA,0.165,0.1,1.625,2.12,102.34,1.03,2.48,76.57,35.4,18.8,19.62,1.04,0,0.00335259339604822,0.834347207709676,0.162300198894276,0,0.015029,0.008579218,0.03603,0.411287344266667,0.176740309961493,0.637333717,0.880720121684726,0.451454588517808
"ESumm","Gates",16,"test","ricker",NA,0.165,0.1,0.725,1.92,18.41,0.95,2.58,22.46,12.23,16.8,16.2,0.86,0,0.101532015735698,0.808682341776634,0.0897856424876683,0,0.031231,0.0149629325,0.0789398355,0.411287344266667,0.176740309961493,0.637333717,0.880720121684726,0.451454588517808
"ESumm","Nadina",17,"test","ricker",NA,0.165,0.1,1.275,1.42,7.73,0.87,1.74,8.48,4.29,3.65,6.94,0.9,0,0.000716640073265371,0.839701487291337,0.159581872635398,0,0.046853,0.0159720015,0.098749,0.411287344266667,0.176740309961493,0.637333717,0.880720121684726,0.451454588517808
"ESumm","Upper Pitt",18,"test","ricker",NA,0.165,0.1,0.675,1.5,21.71,0.75,1.83,12.64,4.72,10.8,3.74,0.7,0,0.000441915609252495,0.307868243687824,0.691689840702924,0,0.0614125,0.03406225,0.1013135,0.0370081508125,0.471549273016699,0.637333717,0.880720121684726,0.451454588517808
"Summ","Harrison",19,"test","ricker",NA,0.165,0.1,1.1,1.47,2.99,1.35,1.6,2.4,0.6,0.89,1.19,1.42,0.00146726865417398,0.424013895398389,0.574518835947437,0,0,0.041545,0.017811,0.087825,0.257298426583333,0.480988176826155,0.152984277,2.2531327579574,3.57075331293079
"ESumm","E. Shuswap",815,"test","larkin",2,0.165,0.1,0.95,1.16,1.39,0.94,1.78,1.59,2.71,2.69,2.93,0.82,0,0.00236577823725134,0.934761153582254,0.0628730681804948,0,0.07411703,0.02505775,0.369772,0.411287344266667,0.176740309961493,0.637333717,0.880720121684726,0.451454588517808
